,Feature name,Source,Unique count,Min,Max,Notes
0,listing_id,kaggle_flat_table,22552,2015,29867352,"{'smaple_values': [29605459, 23740543, 12824701, 19028960, 2643579], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
1,name,kaggle_flat_table,21874,,,"{'smaple_values': ['Room in Wilmersdorf (only 4 couples & females)', 'COZY ROOFTOP APARTM.| QUIET&CENTRAL', 'Gem��tliches Zimmer in ruhiger Altbauwohnung', 'Gem��tliche, ruhige 1 Zimmerwohnung', 'Cosy 1-room apartment in Berlin'], 'sum_of_na': 413, 'is_numeric': False, 'is_string': True, 'is_datetime': False}"
2,target_start_date_period,kaggle_flat_table,7,,,"{'smaple_values': ['2019-05-01', '2019-07-01', '2019-08-01', '2019-02-01', '2019-03-01'], 'sum_of_na': 0, 'is_numeric': False, 'is_string': True, 'is_datetime': False}"
3,target_end_date_period,kaggle_flat_table,8,,,"{'smaple_values': ['2019-04-30', '2019-11-06', '2019-09-30', '2019-08-31', '2019-07-31'], 'sum_of_na': 0, 'is_numeric': False, 'is_string': True, 'is_datetime': False}"
4,target_num_of_day_in_period,kaggle_flat_table,5,89,100,"{'smaple_values': [92, 89, 100, 91, 98], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
5,target_num_of_booked_days,kaggle_flat_table,100,0,100,"{'smaple_values': [68, 60, 75, 31, 53], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
6,booked_up_target,kaggle_flat_table,2,0,1,"{'smaple_values': [0, 1], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
7,target_avg_dollar_price_in_period,kaggle_flat_table,11631,9.0,999.0,"{'smaple_values': [41.4347, 72.4897, 25.3043, 41.1086, 44.8], 'sum_of_na': 113945, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
8,start_date_previous_period,kaggle_flat_table,2,,,"{'smaple_values': ['2018-11-09', '2018-11-07'], 'sum_of_na': 0, 'is_numeric': False, 'is_string': True, 'is_datetime': False}"
9,end_date_previous_period,kaggle_flat_table,7,,,"{'smaple_values': ['2019-02-28', '2019-04-30', '2019-07-31', '2019-06-30', '2019-03-31'], 'sum_of_na': 0, 'is_numeric': False, 'is_string': True, 'is_datetime': False}"
10,num_of_day_in_previous_period,kaggle_flat_table,14,84,267,"{'smaple_values': [236, 206, 143, 114, 145], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
11,num_of_booked_days_in_previous_period,kaggle_flat_table,268,0,267,"{'smaple_values': [199, 120, 168, 38, 213], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
12,occupancy_last_period,kaggle_flat_table,101,0.0,1.0,"{'smaple_values': [0.09, 0.06, 0.01, 0.95, 0.26], 'sum_of_na': 0, 'is_numeric': True, 'is_string': False, 'is_datetime': False}"
