,var1,var2,target,correlation_between_vars,pvalue_between_vars,correlation_var1_target,pvalue_var1_target,correlation_var2_target,pvalue_var2_target
1,target_avg_dollar_price_in_period,avg_dollar_price_in_previous_period,booked_up_target,0.9823653560634641,0.0,,,-0.12045325898102326,7.034347248564516e-251
777,availability_60,availability_90,booked_up_target,0.9579453795899561,0.0,-0.4970063557162694,0.0,-0.5596518136286611,0.0
4,target_avg_dollar_price_in_period,price,booked_up_target,0.951098075547126,0.0,,,-0.2053554322527973,0.0
647,weekly_price,monthly_price,booked_up_target,0.925821596710312,0.0,-0.18314289538626416,3.6048812875063117e-193,-0.19150651222022122,3.0437457760240204e-153
87,avg_dollar_price_in_previous_period,price,booked_up_target,0.9172905894566193,0.0,-0.12045325898102326,7.034347248564516e-251,-0.2053554322527973,0.0
763,availability_30,availability_60,booked_up_target,0.9070229952877154,0.0,-0.42164402061973216,0.0,-0.4970063557162694,0.0
369,calculated_host_listings_count,host_total_listings_count,booked_up_target,0.9012810522258567,0.0,-0.26858612155055434,0.0,-0.2675121518317726,0.0
417,availability_365,availability_90,booked_up_target,0.8757565037506024,0.0,-0.7883671841456359,0.0,-0.5596518136286611,0.0
764,availability_30,availability_90,booked_up_target,0.8514589950472397,0.0,-0.42164402061973216,0.0,-0.5596518136286611,0.0
213,price,weekly_price,booked_up_target,0.83967269914406,0.0,-0.2053554322527973,0.0,-0.18314289538626416,3.6048812875063117e-193
416,availability_365,availability_60,booked_up_target,0.8158423611810858,0.0,-0.7883671841456359,0.0,-0.4970063557162694,0.0
19,target_avg_dollar_price_in_period,weekly_price,booked_up_target,0.815557816608525,0.0,,,-0.18314289538626416,3.6048812875063117e-193
877,target_num_of_day_in_period,num_of_day_in_previous_period,booked_up_target,0.8078079144862362,0.0,0.09531868682969963,0.0,0.10664838956162437,0.0
102,avg_dollar_price_in_previous_period,weekly_price,booked_up_target,0.8002048078481043,0.0,-0.12045325898102326,7.034347248564516e-251,-0.18314289538626416,3.6048812875063117e-193
214,price,monthly_price,booked_up_target,0.7879228480652378,0.0,-0.2053554322527973,0.0,-0.19150651222022122,3.0437457760240204e-153
880,target_num_of_booked_days,num_of_booked_days_in_previous_period,booked_up_target,0.777581872464436,0.0,0.8003208263860638,0.0,0.6210093570040095,0.0
20,target_avg_dollar_price_in_period,monthly_price,booked_up_target,0.7761957265105996,0.0,,,-0.19150651222022122,3.0437457760240204e-153
103,avg_dollar_price_in_previous_period,monthly_price,booked_up_target,0.7717114633051118,0.0,-0.12045325898102326,7.034347248564516e-251,-0.19150651222022122,3.0437457760240204e-153
268,number_of_reviews,reviews_per_month,booked_up_target,0.7160979400313152,0.0,-0.2729557845542424,0.0,-0.2668351808338874,0.0
539,accommodates,beds,booked_up_target,0.7090176189475775,0.0,-0.13816239372347494,0.0,-0.15576478758208406,0.0
415,availability_365,availability_30,booked_up_target,0.7070865311651116,0.0,-0.7883671841456359,0.0,-0.42164402061973216,0.0
84,occupancy_last_period,num_of_booked_days_in_previous_period,booked_up_target,0.6837539544584924,0.0,0.6967989683315049,0.0,0.6210093570040095,0.0
871,concat_comments_polarity,concat_comments_subjectivity,booked_up_target,0.6449951797682805,0.0,0.07982707713741456,2.124127262894911e-120,0.07094443584457692,1.922848046607934e-95
881,num_of_day_in_previous_period,num_of_booked_days_in_previous_period,booked_up_target,0.6126772183804062,0.0,0.10664838956162437,0.0,0.6210093570040095,0.0
48,occupancy_last_period,DaysPassed_last_review,booked_up_target,0.576035233535551,0.0,0.6967989683315049,0.0,0.32440865324759716,0.0
819,review_scores_rating,review_scores_value,booked_up_target,0.5703127385301588,0.0,0.10938167860611937,0.0,0.1259661355614989,0.0
14,target_avg_dollar_price_in_period,accommodates,booked_up_target,0.5576061175102888,0.0,,,-0.13816239372347494,0.0
842,review_scores_checkin,review_scores_communication,booked_up_target,0.545922659902216,0.0,0.01783128387574471,2.139428127363775e-10,0.051294711507698695,1.0441928544136766e-74
815,review_scores_rating,review_scores_cleanliness,booked_up_target,0.5443141271618014,0.0,0.10938167860611937,0.0,-0.03818798720697684,3.342329599585784e-42
82,occupancy_last_period,target_num_of_booked_days,booked_up_target,0.542882571588156,0.0,0.6967989683315049,0.0,0.8003208263860638,0.0
876,target_num_of_day_in_period,target_num_of_booked_days,booked_up_target,0.5411211371709522,0.0,0.09531868682969963,0.0,0.8003208263860638,0.0
97,avg_dollar_price_in_previous_period,accommodates,booked_up_target,0.5411128209077476,0.0,-0.12045325898102326,7.034347248564516e-251,-0.13816239372347494,0.0
541,accommodates,weekly_price,booked_up_target,0.5343698719151072,0.0,-0.13816239372347494,0.0,-0.18314289538626416,3.6048812875063117e-193
542,accommodates,monthly_price,booked_up_target,0.5325485123985498,0.0,-0.13816239372347494,0.0,-0.19150651222022122,3.0437457760240204e-153
208,price,accommodates,booked_up_target,0.5283907232241312,0.0,-0.2053554322527973,0.0,-0.13816239372347494,0.0
353,reviews_per_month,availability_90,booked_up_target,0.5241406856173941,0.0,-0.2668351808338874,0.0,-0.5596518136286611,0.0
352,reviews_per_month,availability_60,booked_up_target,0.5216744136303174,0.0,-0.2668351808338874,0.0,-0.4970063557162694,0.0
586,bedrooms,beds,booked_up_target,0.5199845462300594,0.0,-0.07061960733809783,1.6117754842671819e-173,-0.15576478758208406,0.0
814,review_scores_rating,review_scores_accuracy,booked_up_target,0.5192989436680578,0.0,0.10938167860611937,0.0,0.05483275856550795,3.9137567294075893e-85
667,monthly_price,cleaning_fee,booked_up_target,0.5097728428846041,0.0,-0.19150651222022122,3.0437457760240204e-153,-0.2349468508731146,0.0
