,var1,var2,pvalue_between_vars
0,neighbourhood_group,room_type,0.0
1,neighbourhood_group,host_response_time,2.101538564388603e-86
2,neighbourhood_group,host_is_superhost,3.864567793597463e-187
3,neighbourhood_group,host_has_profile_pic,1.0147336953984552e-19
4,neighbourhood_group,host_identity_verified,1.5987436774020692e-190
5,neighbourhood_group,bed_type,3.2107776664067704e-131
6,neighbourhood_group,instant_bookable,2.0688911272439056e-228
7,neighbourhood_group,require_guest_profile_picture,8.483871414195515e-18
8,neighbourhood_group,require_guest_phone_verification,1.1860646528915786e-38
9,neighbourhood_group,cancellation_policy,0.0
10,neighbourhood_group,concat_comments_sentiment,3.4272321728837164e-37
11,room_type,host_response_time,2.525271108793793e-24
12,room_type,host_is_superhost,1.0982184453402177e-48
13,room_type,host_has_profile_pic,0.0001342179241349116
14,room_type,host_identity_verified,3.8509362046444224e-113
15,room_type,bed_type,4.232040000430081e-204
16,room_type,instant_bookable,7.29644135280305e-06
17,room_type,require_guest_profile_picture,4.892906367608911e-37
18,room_type,require_guest_phone_verification,1.2252257239033042e-166
19,room_type,cancellation_policy,0.0
20,room_type,concat_comments_sentiment,1.0759760817147675e-07
21,host_response_time,host_is_superhost,0.0
22,host_response_time,host_has_profile_pic,2.010722526578637e-06
23,host_response_time,host_identity_verified,4.192782764335169e-53
24,host_response_time,bed_type,1.7133652050614705e-27
25,host_response_time,instant_bookable,0.0
26,host_response_time,require_guest_profile_picture,8.128058656412282e-14
27,host_response_time,require_guest_phone_verification,0.03966855788590343
28,host_response_time,cancellation_policy,6.312791482346256e-187
29,host_response_time,concat_comments_sentiment,6.092320870411651e-32
30,host_is_superhost,host_has_profile_pic,2.5206180359823293e-11
31,host_is_superhost,host_identity_verified,1.742627291891911e-114
32,host_is_superhost,bed_type,4.224716258131909e-09
33,host_is_superhost,instant_bookable,5.1957270354917336e-111
34,host_is_superhost,require_guest_profile_picture,9.94279770860191e-24
35,host_is_superhost,require_guest_phone_verification,1.0820430927618802e-46
36,host_is_superhost,cancellation_policy,0.0
37,host_is_superhost,concat_comments_sentiment,2.6383829478249452e-161
38,host_has_profile_pic,host_identity_verified,6.681294430991947e-46
39,host_has_profile_pic,bed_type,4.5189353105263864e-05
40,host_has_profile_pic,require_guest_phone_verification,0.04644081776045782
41,host_has_profile_pic,cancellation_policy,3.007050781544348e-23
42,host_has_profile_pic,concat_comments_sentiment,3.277824307982046e-05
43,host_identity_verified,bed_type,1.505434735153906e-61
44,host_identity_verified,instant_bookable,0.0
45,host_identity_verified,require_guest_profile_picture,6.349316785889344e-64
46,host_identity_verified,require_guest_phone_verification,2.6704014957872812e-70
47,host_identity_verified,cancellation_policy,0.0
48,host_identity_verified,concat_comments_sentiment,1.3595692340386594e-87
49,bed_type,instant_bookable,1.7870261950532204e-80
50,bed_type,require_guest_profile_picture,1.3618120211996399e-24
51,bed_type,require_guest_phone_verification,2.5683498523873052e-30
52,bed_type,cancellation_policy,4.7194308955614505e-22
53,bed_type,concat_comments_sentiment,5.265829268325756e-06
54,instant_bookable,require_guest_profile_picture,2.553642190373871e-19
55,instant_bookable,require_guest_phone_verification,2.701575119294873e-07
56,instant_bookable,cancellation_policy,8.537290131548616e-231
57,instant_bookable,concat_comments_sentiment,1.0056523415572677e-15
58,require_guest_profile_picture,require_guest_phone_verification,0.0
59,require_guest_profile_picture,cancellation_policy,2.7396378118004185e-124
60,require_guest_profile_picture,concat_comments_sentiment,0.015131164327524739
61,require_guest_phone_verification,cancellation_policy,5.946825403808553e-290
62,require_guest_phone_verification,concat_comments_sentiment,0.04614714233763764
63,cancellation_policy,concat_comments_sentiment,0.0
