,Variables,Categories,Population,Category_1,Category_0,p_value
0,Individuals,n,157864,113873,43991,
1,listing_id,Mean (SD),"15,715,604.80 (8,551,879.00)","16,068,619.00 (8,126,508.20)","14,801,809.10 (9,504,815.10)",0.0
2,listing_id,Median (IQR),"16,866,381.00 (8,065,953.50-22,583,930.80)","17,416,440.00 (8,767,787.00-22,384,985.00)","15,428,418.00 (5,637,895.00-23,157,940.00)",
4,host_id,Mean (SD),"54,033,548.00 (58,161,613.10)","54,842,706.90 (56,666,286.30)","51,938,998.10 (61,815,526.00)",0.0
5,host_id,Median (IQR),"31,267,110.00 (9,240,002.20-80,675,177.00)","33,836,949.00 (11,180,297.00-81,243,480.00)","23,794,332.00 (5,526,024.00-79,255,369.00)",
7,kmean_cluster_availability,1,"103,012.00 (   65.30%)","99,754.00 (   87.60%)","3,258.00 (    7.40%)",
8,kmean_cluster_availability,2,"29,442.00 (   18.70%)",   77.00 (    0.10%),"29,365.00 (   66.80%)",0.0
9,kmean_cluster_availability,0,"25,410.00 (   16.10%)","14,042.00 (   12.30%)","11,368.00 (   25.80%)",
10,target_num_of_day_in_period_minus_num_of_day_in_previous_period,Mean (SD),  -83.30 (   58.60),  -87.20 (   57.90),  -73.30 (   59.20),0.0
11,target_num_of_day_in_period_minus_num_of_day_in_previous_period,Median (IQR),  -83.00 ( -144.00-  -22.00),  -83.00 ( -144.00-  -22.00),  -83.00 ( -114.00-  -22.00),
13,room_type_Private room_host_response_time_within an hour,0,"139,258.00 (   88.20%)","101,617.00 (   89.20%)","37,641.00 (   85.60%)",
14,room_type_Private room_host_response_time_within an hour,1,"18,606.00 (   11.80%)","12,256.00 (   10.80%)","6,350.00 (   14.40%)",0.0
15,room_type_Private room_host_response_time_within a few hours,0,"150,003.00 (   95.00%)","109,104.00 (   95.80%)","40,899.00 (   93.00%)",
16,room_type_Private room_host_response_time_within a few hours,1,"7,861.00 (    5.00%)","4,769.00 (    4.20%)","3,092.00 (    7.00%)",0.0
17,room_type_Private room_host_response_time_missing_host_response_time,0,"112,350.00 (   71.20%)","73,879.00 (   64.90%)","38,471.00 (   87.50%)",
18,room_type_Private room_host_response_time_missing_host_response_time,1,"45,514.00 (   28.80%)","39,994.00 (   35.10%)","5,520.00 (   12.50%)",0.0
19,room_type_Private room_host_response_time_within a day,0,"150,465.00 (   95.30%)","109,274.00 (   96.00%)","41,191.00 (   93.60%)",
20,room_type_Private room_host_response_time_within a day,1,"7,399.00 (    4.70%)","4,599.00 (    4.00%)","2,800.00 (    6.40%)",0.0
21,room_type_Private room_host_response_time_a few days or more,0,"156,506.00 (   99.10%)","113,149.00 (   99.40%)","43,357.00 (   98.60%)",
22,room_type_Private room_host_response_time_a few days or more,1,"1,358.00 (    0.90%)",  724.00 (    0.60%),  634.00 (    1.40%),0.0
23,room_type_Entire home/apt_host_response_time_within an hour,0,"141,659.00 (   89.70%)","105,829.00 (   92.90%)","35,830.00 (   81.40%)",
24,room_type_Entire home/apt_host_response_time_within an hour,1,"16,205.00 (   10.30%)","8,044.00 (    7.10%)","8,161.00 (   18.60%)",0.0
25,room_type_Entire home/apt_host_response_time_within a few hours,0,"151,039.00 (   95.70%)","110,494.00 (   97.00%)","40,545.00 (   92.20%)",
26,room_type_Entire home/apt_host_response_time_within a few hours,1,"6,825.00 (    4.30%)","3,379.00 (    3.00%)","3,446.00 (    7.80%)",0.0
27,room_type_Entire home/apt_host_response_time_missing_host_response_time,0,"114,037.00 (   72.20%)","78,953.00 (   69.30%)","35,084.00 (   79.80%)",
28,room_type_Entire home/apt_host_response_time_missing_host_response_time,1,"43,827.00 (   27.80%)","34,920.00 (   30.70%)","8,907.00 (   20.20%)",0.0
29,room_type_Entire home/apt_host_response_time_within a day,0,"150,976.00 (   95.60%)","110,555.00 (   97.10%)","40,421.00 (   91.90%)",
30,room_type_Entire home/apt_host_response_time_within a day,1,"6,888.00 (    4.40%)","3,318.00 (    2.90%)","3,570.00 (    8.10%)",0.0
31,room_type_Entire home/apt_host_response_time_a few days or more,0,"156,555.00 (   99.20%)","113,346.00 (   99.50%)","43,209.00 (   98.20%)",
32,room_type_Entire home/apt_host_response_time_a few days or more,1,"1,309.00 (    0.80%)",  527.00 (    0.50%),  782.00 (    1.80%),0.0
33,room_type_Shared room_host_response_time_within an hour,0,"157,108.00 (   99.50%)","113,500.00 (   99.70%)","43,608.00 (   99.10%)",
34,room_type_Shared room_host_response_time_within an hour,1,  756.00 (    0.50%),  373.00 (    0.30%),  383.00 (    0.90%),0.0
35,room_type_Shared room_host_response_time_missing_host_response_time,0,"156,947.00 (   99.40%)","113,129.00 (   99.30%)","43,818.00 (   99.60%)",
